EMPLOYEE_ID,FIRST_NAME,LAST_NAME,EMAIL,PHONE_NUMBER,HIRE_DATE,JOB_ID,SALARY,COMMISSION_PCT,MANAGER_ID,DEPARTMENT_ID
153,Christopher,Olsen,christopher.olsen@company.com,011.44.1344.498718,8/9/2020,SA_REP,8000,0,145,80
154,Nanette,Cambrault,nanette.cambrault@company.com,011.44.1344.987668,8/10/2020,SA_REP,7500,0,145,80
155,Oliver,Tuvault,oliver.tuvault@company.com,011.44.1344.486508,8/11/2020,SA_REP,7000,0,145,80
156,Janette,King,janette.king@company.com,011.44.1345.429268,8/12/2020,SA_REP,10000,0,146,80
157,Patrick,Sully,patrick.sully@company.com,011.44.1345.929268,8/13/2020,SA_REP,9500,0,146,80
158,Allan,McEwen,allan.mcewen@company.com,011.44.1345.829268,8/14/2020,SA_REP,9000,0,146,80
159,Lindsey,Smith,lindsey.smith@company.com,011.44.1345.729268,8/15/2020,SA_REP,8000,0,146,80
125,Julia,Nayer,julia.nayer@company.com,650.999.1214,7/12/2020,ST_CLERK,3200,0,120,50
126,Irene,Mikkilineni,irene.mikkilineni@company.com,650.999.1224,7/13/2020,ST_CLERK,2700,0,120,50
127,James,Landry,james.landry@company.com,650.999.1334,7/14/2020,ST_CLERK,2400,0,120,50
128,Steven,Markle,steven.markle@company.com,650.999.1434,7/15/2020,ST_CLERK,2200,0,120,50
160,Louise,Doran,louise.doran@company.com,011.44.1345.629268,8/16/2020,SA_REP,7500,0,146,80
161,Sarath,Sewall,sarath.sewall@company.com,011.44.1345.529268,8/17/2020,SA_REP,7000,0,146,80
162,Clara,Vishney,clara.vishney@company.com,011.44.1346.129268,8/18/2020,SA_REP,10500,0,147,80
163,Danielle,Greene,danielle.greene@company.com,011.44.1346.229268,8/19/2020,SA_REP,9500,0,147,80
164,Mattea,Marvins,mattea.marvins@company.com,011.44.1346.329268,8/20/2020,SA_REP,7200,0,147,80
165,David,Lee,david.lee@company.com,011.44.1346.529268,8/21/2020,SA_REP,6800,0,147,80
166,Sundar,Ande,sundar.ande@company.com,011.44.1346.629268,8/22/2020,SA_REP,6400,0,147,80
167,Amit,Banda,amit.banda@company.com,011.44.1346.729268,8/23/2020,SA_REP,6200,0,147,80
168,Lisa,Ozer,lisa.ozer@company.com,011.44.1343.929268,8/24/2020,SA_REP,11500,0,148,80
169,Harrison,Bloom,harrison.bloom@company.com,011.44.1343.829268,8/25/2020,SA_REP,10000,0,148,80
170,Tayler,Fox,tayler.fox@company.com,011.44.1343.729268,8/26/2020,SA_REP,9600,0,148,80
171,William,Smith,william.smith@company.com,011.44.1343.629268,8/27/2020,SA_REP,7400,0,148,80
172,Elizabeth,Bates,elizabeth.bates@company.com,011.44.1343.529268,8/28/2020,SA_REP,7300,0,148,80
173,Sundita,Kumar,sundita.kumar@company.com,011.44.1343.329268,8/29/2020,SA_REP,6100,0,148,80
174,Ellen,Abel,ellen.abel@company.com,011.44.1644.429267,8/30/2020,SA_REP,11000,0,149,80
175,Alyssa,Hutton,alyssa.hutton@company.com,011.44.1644.429266,8/31/2020,SA_REP,8800,0,149,80
176,Jonathon,Taylor,jonathon.taylor@company.com,011.44.1644.429265,9/1/2020,SA_REP,8600,0,149,80
177,Jack,Livingston,jack.livingston@company.com,011.44.1644.429264,9/2/2020,SA_REP,8400,0,149,80
178,Kimberely,Grant,kimberely.grant@company.com,011.44.1644.429263,9/3/2020,SA_REP,7000,0,149,0
179,Charles,Johnson,charles.johnson@company.com,011.44.1644.429262,9/4/2020,SA_REP,6200,0,149,80
180,Winston,Taylor,winston.taylor@company.com,650.507.9876,9/5/2020,SH_CLERK,3200,0,120,50
181,Jean,Fleaur,jean.fleaur@company.com,650.507.9877,9/6/2020,SH_CLERK,3100,0,120,50
182,Martha,Sullivan,martha.sullivan@company.com,650.507.9878,9/7/2020,SH_CLERK,2500,0,120,50
183,Girard,Geoni,girard.geoni@company.com,650.507.9879,9/8/2020,SH_CLERK,2800,0,120,50
184,Nandita,Sarchand,nandita.sarchand@company.com,650.509.1876,9/9/2020,SH_CLERK,4200,0,121,50
185,Alexis,Bull,alexis.bull@company.com,650.509.2876,9/10/2020,SH_CLERK,4100,0,121,50
186,Julia,Dellinger,julia.dellinger@company.com,650.509.3876,9/11/2020,SH_CLERK,3400,0,121,50
187,Anthony,Cabrio,anthony.cabrio@company.com,650.509.4876,9/12/2020,SH_CLERK,3000,0,121,50
188,Kelly,Chung,kelly.chung@company.com,650.505.1876,9/13/2020,SH_CLERK,3800,0,122,50
189,Jennifer,Dilly,jennifer.dilly@company.com,650.505.2876,9/14/2020,SH_CLERK,3600,0,122,50
190,Timothy,Gates,timothy.gates@company.com,650.505.3876,9/15/2020,SH_CLERK,2900,0,122,50
191,Randall,Perkins,randall.perkins@company.com,650.505.4876,9/16/2020,SH_CLERK,2500,0,122,50
192,Sarah,Bell,sarah.bell@company.com,650.501.1876,9/17/2020,SH_CLERK,4000,0,123,50
193,Britney,Everett,britney.everett@company.com,650.501.2876,9/18/2020,SH_CLERK,3900,0,123,50
194,Samuel,McCain,samuel.mccain@company.com,650.501.3876,9/19/2020,SH_CLERK,3200,0,123,50
195,Vance,Jones,vance.jones@company.com,650.501.4876,9/20/2020,SH_CLERK,2800,0,123,50
196,Alana,Walsh,alana.walsh@company.com,650.507.9811,9/21/2020,SH_CLERK,3100,0,124,50
197,Kevin,Feeney,kevin.feeney@company.com,650.507.9822,9/22/2020,SH_CLERK,3000,0,124,50
198,Donald,OConnell,donald.oconnell@company.com,650.507.9833,9/23/2020,SH_CLERK,2600,0,124,50
199,Douglas,Grant,douglas.grant@company.com,650.507.9844,9/24/2020,SH_CLERK,2600,0,124,50
200,Jennifer,Whalen,jennifer.whalen@company.com,515.123.4444,9/25/2020,AD_ASST,4400,0,101,10
201,Michael,Hartstein,michael.hartstein@company.com,515.123.5555,9/26/2020,MK_MAN,13000,0,100,20
202,Pat,Fay,pat.fay@company.com,603.123.6666,9/27/2020,MK_REP,6000,0,201,20
203,Susan,Mavris,susan.mavris@company.com,515.123.7777,9/28/2020,HR_REP,6500,0,101,40
204,Hermann,Baer,hermann.baer@company.com,515.123.8888,9/29/2020,PR_REP,10000,0,101,70
205,Shelley,Higgins,shelley.higgins@company.com,515.123.8080,9/30/2020,AC_MGR,12000,0,101,110
206,William,Gietz,william.gietz@company.com,515.123.8181,10/1/2020,AC_ACCOUNT,8300,0,205,110
